name,name2
jfjlgdxxb-zrkxb,解放军理工大学学报. 自然科学版
jfjwgyxyxb,解放军外国语学院学报
jfjyxzz,解放军医学杂志
jpxb,解剖学报
jpxzz,解剖学杂志
jrfsxzz,介入放射学杂志
jrllysj,金融理论与实践
jrls,金融论坛
jryj,金融研究
jryjj,金融与经济
jsks,金属矿山
jsrcl,金属热处理
jsxb,金属学报
jdsyj,近代史研究
jjdl,经济地理
jjgl,经济管理
jjjw,经济经纬
jjkx,经济科学
jjllyjjgl,经济理论与经济管理
jjlyj,经济林研究
jjpl,经济评论
jjshtzbj,经济社会体制比较
jjtzgg,经济体制改革
jjwt,经济问题
jjwtss,经济问题探索
jjx,经济学
jjxds,经济学动态
jjxj,经济学家
jjyj,经济研究
jjyjck,经济研究参考
jjyglyj,经济与管理研究
jjzh,经济纵横
jxhg,精细化工
jxsyhg,精细石油化工
jb,剧本
jycl,绝缘材料
jsyxkxyykgmwjsyx,军事医学科学院院刊（改名为：军事医学）
jwxb,菌物学报
kfyj,开发研究
kfdb,开放导报
kfjyyj,开放教育研究
kfsd,开放时代
krzzyj,抗日战争研究
kg,考古
kgxb,考古学报
kgyww,考古与文物
kjdb,科技导报
kjglyj,科技管理研究
kjjbydc,科技进步与对策
kjtb,科技通报
kjycb,科技与出版
kx,科学
kxglyj,科学管理研究
kxjsybzfgmwkxjszxyj,科学技术与辩证法（改名为：科学技术哲学研究）
kxjsygc,科学技术与工程
kxshzy,科学社会主义
kxtb,科学通报
kxxyj,科学学研究
kxxykxjsgl,科学学与科学技术管理
kxyy,科学养鱼
kygl,科研管理
kzsny,可再生能源
kcjcjf,课程、教材、教法
kjjg,空间结构
kjkxxb,空间科学学报
kjgcdxxb-zrkxb,空军工程大学学报. 自然科学版
kqdlxxb,空气动力学学报
kzyj,孔子研究
kzgc,控制工程
kzllyyy,控制理论与应用
kzyjc,控制与决策
hjyj,会计研究
hjzy,会计之友
kcdz,矿床地质
ksjx,矿山机械
kwxb,矿物学报
kwys,矿物岩石
kwysdqhxtb,矿物岩石地球化学通报
kygc,矿冶工程
kyaqyhb,矿业安全与环保
kyyjykf,矿业研究与开发
kcflxb,昆虫分类学报
kcxb,昆虫学报
kczsgmwyykcxb,昆虫知识（改名为：应用昆虫学报）
kmlgdxxb-lgbgmwkmlgdxxb-zrkxb,昆明理工大学学报. 理工版（改名为：昆明理工大学学报. 自然科学版）
ldmzyj,拉丁美洲研究
lssj,兰台世界
lzdxxb-shkxb,兰州大学学报. 社会科学版
lzdxxb-zrkxb,兰州大学学报. 自然科学版
lzlgdxxb,兰州理工大学学报
lzjhyxf,离子交换与吸附
lhjy-hxfc,理化检验. 化学分册
lldk,理论导刊
llss,理论探索
llst,理论探讨
llxk,理论学刊
llygg,理论与改革
llyk,理论月刊
lxjk,力学季刊
lxjz,力学进展
lxxb,力学学报
lxysj,力学与实践
lsda,历史档案
lsjx,历史教学
lsjxwt,历史教学问题
lsyj,历史研究
lg,炼钢
lt,炼铁
lsyslgy,粮食与饲料工业
lsyyz,粮食与油脂
lyspkj,粮油食品科技
lzdzxb,量子电子学报
lzgxxb,量子光学学报
